iata;icao;nvls;name
VR;TCV;162;Cabo Verde Airlines
VS;VIR;181;Virgin Atlantic
VY;VLG;263;Vueling
W4;WMT;5325;Wizz Air Malta
W9;WUK;5297;Wizz Air UK
WA;KLC;102;KLM Cityhopper
WP;;5181;Air Antwerp BV
WS;WJA;4701;WestJet
WW;WOW;5020;WOW Air
WX;BCY;267;Cityjet
WY;OMA;3297;Oman Air
WZ;RWZ;5277;Red Wings
X3;TUI;4848;TUI fly
X7;CHG;5199;Challenge Airlines
X9;NVD;5193;Avion Express
XC;CAI;455;Corendon Airlines
XG;SXD;5047;SunExpress Deutschland
XQ;SXS;197;SunExpress
XR;CXI;5099;Corendon Europe Airl
XZ;AEZ;5293;Aeroitalia
YM;MGX;348;Montenegro Airlines
YW;ANE;284;Air Nostrum
Z4;GZQ;5044;Zagrosjet
ZQ;GER;5238;German Airways
ZT;AWC;172;Titan Airways Ltd
;;179;United Airlines
;BFD;5107;Bertelsmann
;BJN;5182;Beijing Airlines
;BOH;5165;Air Bohemia
;BZE;5123;Zenith Aviation
;CIG;5186;Sirius Aero
;CMB;5153;US Transportation Command
;CNV;5156;US Navy Reserve Logistics Air Forces
;DFC;5125;Aeropartner
;EDG;5145;Jet Edge
;EES;5121;Europe Executive Jet Services
;ELJ;5284;Elite Jet s.r.o.
;EVL;5144;Evolem Aviation
;FFD;5097;Stuttgarter Flugdienst
;FJO;5274;Flexjet
;FNK;5243;IAS
;FOR;5265;Formula One Management
;FRV;5106;Royal Moroccan Air Force
;FSE;5244;Alpine Flight Service
;AXG;5155;Air X Charter Germany
;AYJ;5285;Zeman Nextgen
;BBX;5235;Bel Air Aviation
;AJU;5215;Airjetsul
;AQS;5141;Airstream AS
;HUF;5178;Hungarian Air Force
;HYP;5149;Hyperion Aviation
;IAM;5140;Aeronautica Militare Italiana
;IBG;5094;Springfield Air
;IBJ;5163;Air Taxi and Charter International
;JSH;5240;Jet-Stream 2004
;JSM;5202;Jetstream international UK
;JSY;5174;Jung Sky
;KAI;5095;Kaiser Air
;KAY;5188;K5-Aviation
;KBD;5114;JetKey
;KFE;5139;SkyFirst
;KKK;5061;Atlasglobal
;LHB;5104;Liebherr Geschaeftsreiseflugzeug GBR
;LLT;5183;Classic Jet
;LRQ;5154;Luxembourg Air Ambulance
;LTC;5160;Charter Jets
;FXT;5184;Flexflight
;FYL;5108;Flying Group Luxembourg
;GAG;5137;Greybird Pilot Academy
;GAJ;5126;Gama Charters
;GCK;5171;Glock Aviation
;GEL;5253;Aircompany Geo-Sky
;JBC;5101;JetBee
;JDI;5148;Jet Story
;JEI;5103;Jet Executive International
;JKH;5159;JetKontor
;JME;5150;EJME Aircraft Management
;JMK;5105;JetMagic
;HHN;5110;Hahn Air-Lines
;HLY;5273;Heli Air LTD
;HMJ;5256;Harmony Jets
;KOC;5185;Setair
;LDX;5111;LaudaMotion Executive
;GJE;5122;Global Air Charters
;GJI;5115;Gainjet Ireland
;GKY;5272;Gama Aviation
;GNJ;5127;Gainjet Aviation Greece
;MYX;5100;Smart Lynx Estonia
;NJU;5307;Netjets Air Transport UK
;NTF;5133;Piper OK
;NYX;5225;NyxAir
;OES;5177;Art Aviation
;OTF;5136;Orange2fly Airlines, SA
;PBR;5134;Fast Air
;PDY;5189;Pen-Avia
;LWG;5131;Luxwing
;LXG;5119;Luxaviation Germany
;LXJ;5218;Flexjet
;MGO;5266;Mango
;MJT;5169;MadJet Executive Aviation
;MMF;5228;MULTINATIONAL MRTT FLEET
;PRG;5258;Air Prague
;PTA;5264;Pontair
;PVD;5223;Pad Aviation Services
;PVJ;5143;Privajet
;PWY;5113;Privateways Luftfahrtgesellschaft
;SAY;5179;Sky Gates Airlines
;SDE;5170;Air Partners Corp
;SJE;5157;Sun Air Jets
;SJT;5167;Swiss Jet
;RHH;5260;Red Star Aviation
;RHK;5173;Concierge Aviation
;RKS;5172;Phenix Jet
;ULC;5147;Albinati Aviation
;VAJ;5283;Avcon Jet San Marino
;VBA;5158;AVB 2012
;VBB;5257;ALK
;VCG;5138;Fly Vectra
;VCJ;5164;Avcon Jet Malta
;VDR;5161;Voldirect
;VLJ;5162;VallJet Le Baule Aviation
;VND;5187;Avionord
;VTB;5289;Jet Stream Charter LTD
;VXS;5270;Voluxis
;WJT;5078;Wijet
;WWI;5146;Worldwide Jet Charter
;XCH;5180;Jet Exchange
;XJC;5120;Xclusive Jet Charter
;XRO;5077;EXXAERO INTERNATIONAL
;;5216;Turkish Cargo
;;5217;SKYPLAN SERVICES FZCO
;;5282;Air Canada
;;5064;Malaysia Airlines
;;5076;Stecker Ltd
;;5085;Network Airline Management
;;5086;AerCap Ireland Ltd.
;;5129;Jet Aviation Netherlands B.V.
;;5130;Jet Aviation Netherlands B.V.
;;5201;World Fuel Services England
;;5239;KLM Luchtvaartschool BV
;;5241;European Aviation Limited
;;5246;Ministerie van Def (FABK)
;;5252;Jet Support
;;5301;ASM
;SYG;5116;Synergy Aviation
;TBJ;5168;TAG Aviation Asia
;TJD;5249;Topjet Executive
;TLJ;5292;Thalair
;TWY;5117;Sunset Aviation
;UEE;5280;United Eagle
;SRK;4030;EATIS
;SSZ;5118;Specsavers Aviation
;AMC;117;Air Malta
;MCK;5248;Aeroways
;;5330;Lithuanian Air Force
;;5329;Bundeswehr Dienst
;;5331;AEG Fuels Ireland
;;5226;Eurojet Intercontinental Limited
;;5332;Ministry of Defence
;;5336;WORLD FUEL SERVICES
;;5334;Italienische Bot
;;219;Federal Express
;;5333;mate.aero Zrt
;VJT;5102;VistaJet
;;5342;SPECIAL PURPOSE AVIATION OPERATOR-SAO
;;5338;CEVA AIR & OCEAN INTERNATIONAL SE
